timestamp_sec,avg_ear,is_blinking_frame,blink_count_total,blink_rate_bps
12.326,0.2509,0,4,0.3245
12.342,0.2471,0,4,0.3241
12.358,0.2476,0,4,0.3237
12.374,0.2463,0,4,0.3233
12.390,0.2489,0,4,0.3229
12.406,0.2498,0,4,0.3224
12.422,0.2524,0,4,0.3220
12.438,0.2507,0,4,0.3216
12.454,0.2511,0,4,0.3212
12.469,0.2523,0,4,0.3208
12.486,0.2544,0,4,0.3204
12.502,0.2540,0,4,0.3199
12.518,0.2499,0,4,0.3195
12.533,0.2453,0,4,0.3191
12.549,0.2445,0,4,0.3187
12.564,0.2451,0,4,0.3184
12.580,0.2519,0,4,0.3180
12.596,0.2454,0,4,0.3176
12.611,0.2454,0,4,0.3172
12.627,0.2471,0,4,0.3168
12.643,0.2522,0,4,0.3164
12.662,0.2481,0,4,0.3159
12.680,0.2466,0,4,0.3155
12.696,0.2505,0,4,0.3151
12.713,0.2481,0,4,0.3146
12.729,0.2521,0,4,0.3142
12.745,0.2521,0,4,0.3138
12.761,0.2523,0,4,0.3135
12.777,0.2504,0,4,0.3131
12.794,0.2501,0,4,0.3126
12.810,0.2479,0,4,0.3122
12.826,0.2454,0,4,0.3119
12.842,0.2491,0,4,0.3115
12.860,0.2473,0,4,0.3110
12.876,0.2465,0,4,0.3107
12.892,0.2446,0,4,0.3103
12.909,0.2483,0,4,0.3099
12.925,0.2455,0,4,0.3095
12.941,0.2511,0,4,0.3091
12.956,0.2491,0,4,0.3087
12.972,0.2505,0,4,0.3084
12.988,0.2517,0,4,0.3080
13.003,0.2503,0,4,0.3076
13.021,0.2516,0,4,0.3072
13.036,0.2510,0,4,0.3068
13.053,0.2475,0,4,0.3065
13.069,0.2506,0,4,0.3061
13.085,0.2504,0,4,0.3057
13.102,0.2550,0,4,0.3053
13.118,0.2519,0,4,0.3049
13.135,0.2509,0,4,0.3045
13.152,0.2509,0,4,0.3041
13.169,0.2516,0,4,0.3037
13.185,0.1726,1,4,0.3034
13.200,0.0888,1,4,0.3030
13.216,0.1308,1,4,0.3027
13.233,0.1725,1,4,0.3023
13.249,0.1958,1,4,0.3019
13.265,0.2033,1,4,0.3015
13.283,0.2013,1,4,0.3011
13.300,0.2058,1,4,0.3008
13.317,0.2121,1,4,0.3004
13.333,0.2142,1,4,0.3000
13.351,0.2158,1,4,0.2996
13.367,0.2154,1,4,0.2992
13.382,0.2187,1,4,0.2989
13.399,0.2198,1,4,0.2985
13.415,0.2214,0,5,0.3727
13.432,0.2227,0,5,0.3722
13.448,0.2202,0,5,0.3718
13.464,0.2220,0,5,0.3714
13.482,0.2317,0,5,0.3709
13.498,0.2300,0,5,0.3704
13.514,0.2287,0,5,0.3700
13.530,0.2237,0,5,0.3695
13.546,0.2254,0,5,0.3691
13.563,0.2328,0,5,0.3687
13.579,0.2296,0,5,0.3682
13.595,0.2341,0,5,0.3678
13.611,0.2346,0,5,0.3673
13.628,0.2295,0,5,0.3669
13.644,0.2264,0,5,0.3665
13.662,0.2275,0,5,0.3660
13.678,0.2296,0,5,0.3655
13.698,0.2309,0,5,0.3650
13.716,0.2325,0,5,0.3645
13.732,0.2290,0,5,0.3641
13.747,0.2304,0,5,0.3637
13.762,0.2314,0,5,0.3633
13.780,0.2276,0,5,0.3628
13.796,0.2309,0,5,0.3624
13.812,0.2269,0,5,0.3620
13.829,0.2308,0,5,0.3616
13.848,0.2336,0,5,0.3611
13.863,0.2297,0,5,0.3607
13.880,0.2319,0,5,0.3602
13.896,0.2280,0,5,0.3598
13.912,0.2268,0,5,0.3594
13.929,0.2297,0,5,0.3590
13.944,0.2264,0,5,0.3586
13.960,0.2277,0,5,0.3582
13.976,0.2296,0,5,0.3578
13.992,0.2311,0,5,0.3574
14.007,0.2333,0,5,0.3570
14.023,0.2312,0,5,0.3566
14.038,0.2325,0,5,0.3562
14.052,0.2347,0,5,0.3558
14.068,0.2354,0,5,0.3554
14.086,0.2370,0,5,0.3550
14.101,0.2349,0,5,0.3546
14.116,0.2351,0,5,0.3542
14.132,0.2365,0,5,0.3538
14.147,0.2353,0,5,0.3534
14.162,0.2370,0,5,0.3531
14.178,0.2369,0,5,0.3527
14.193,0.2384,0,5,0.3523
14.209,0.2340,0,5,0.3519
14.224,0.2342,0,5,0.3515
14.239,0.2326,0,5,0.3511
14.255,0.2421,0,5,0.3508
14.270,0.2440,0,5,0.3504
14.285,0.2474,0,5,0.3500
14.300,0.2541,0,5,0.3497
14.315,0.2534,0,5,0.3493
14.331,0.2529,0,5,0.3489
14.346,0.2538,0,5,0.3485
14.362,0.2553,0,5,0.3481
14.377,0.2539,0,5,0.3478
14.392,0.2567,0,5,0.3474
14.407,0.2632,0,5,0.3470
14.424,0.2629,0,5,0.3467
14.440,0.2599,0,5,0.3463
14.455,0.2619,0,5,0.3459
14.472,0.2622,0,5,0.3455
14.488,0.2586,0,5,0.3451
14.504,0.2594,0,5,0.3447
14.518,0.2582,0,5,0.3444
14.534,0.2589,0,5,0.3440
14.550,0.2590,0,5,0.3436
14.565,0.2599,0,5,0.3433
14.580,0.2598,0,5,0.3429
14.597,0.2636,0,5,0.3425
14.612,0.2616,0,5,0.3422
14.628,0.2634,0,5,0.3418
14.643,0.2604,0,5,0.3415
14.659,0.2618,0,5,0.3411
14.674,0.2616,0,5,0.3407
14.689,0.2679,0,5,0.3404
14.705,0.2636,0,5,0.3400
14.720,0.2616,0,5,0.3397
14.735,0.2628,0,5,0.3393
14.750,0.2497,0,5,0.3390
14.765,0.2124,1,5,0.3386
14.781,0.2130,1,5,0.3383
14.797,0.2335,0,5,0.3379
14.812,0.2321,0,5,0.3376
14.827,0.2543,0,5,0.3372
14.842,0.2723,0,5,0.3369
14.857,0.2848,0,5,0.3365
14.873,0.2937,0,5,0.3362
14.890,0.2992,0,5,0.3358
14.905,0.2955,0,5,0.3355
14.921,0.2978,0,5,0.3351
14.937,0.2964,0,5,0.3347
14.952,0.2952,0,5,0.3344
14.967,0.2971,0,5,0.3341
14.981,0.2988,0,5,0.3337
14.997,0.3009,0,5,0.3334
15.014,0.3023,0,5,0.3330
15.029,0.3051,0,5,0.3327
15.044,0.3067,0,5,0.3324
15.059,0.3093,0,5,0.3320
15.075,0.3097,0,5,0.3317
15.091,0.3080,0,5,0.3313
15.106,0.3110,0,5,0.3310
15.123,0.3106,0,5,0.3306
15.137,0.3117,0,5,0.3303
15.152,0.3119,0,5,0.3300
15.167,0.3119,0,5,0.3297
15.184,0.3145,0,5,0.3293
15.200,0.3089,0,5,0.3289
15.215,0.3091,0,5,0.3286
15.230,0.3067,0,5,0.3283
15.246,0.3041,0,5,0.3280
15.261,0.3085,0,5,0.3276
15.277,0.3109,0,5,0.3273
15.292,0.3102,0,5,0.3270
15.307,0.3115,0,5,0.3266
15.323,0.3097,0,5,0.3263
15.339,0.3068,0,5,0.3260
15.356,0.3127,0,5,0.3256
15.372,0.3118,0,5,0.3253
15.386,0.3125,0,5,0.3250
15.402,0.3134,0,5,0.3246
15.417,0.3095,0,5,0.3243
15.434,0.3160,0,5,0.3240
15.449,0.3111,0,5,0.3237
15.464,0.3131,0,5,0.3233
15.480,0.3145,0,5,0.3230
15.495,0.3219,0,5,0.3227
15.511,0.3200,0,5,0.3224
15.526,0.3219,0,5,0.3220
